# SIRIUS STORAGE RING PV FLATLIST
# ===============================
#
# Lists all SI PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-11 14:58:06  (by sirius-pvs-generate-flatlist.py)
#

# --- TI (timing) ---

SIPS-SF1K-03C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-02C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1K-01C4                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-20C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-19C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-18C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-17C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-16C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-15C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-14C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-13C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-12C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-11C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-10C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-09C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-08C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-07C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-06C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-05C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-04C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-03C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-02C1                                    DESCRIPTION_IS_MISSING
SIPS-SF1J-01C1                                    DESCRIPTION_IS_MISSING
SIPS-SDB-20M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-19M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-18M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-17M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-16M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-15M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-14M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-13M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-12M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-11M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-10M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-09M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-08M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-07M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-06M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-05M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-04M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-03M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-02M1                                     DESCRIPTION_IS_MISSING
SIPS-SDB-01M1                                     DESCRIPTION_IS_MISSING
SIPS-SDA-20M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-19M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-18M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-17M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-16M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-15M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-14M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-13M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-12M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-11M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-10M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-09M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-08M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-07M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-06M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-05M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-04M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-03M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-02M2                                     DESCRIPTION_IS_MISSING
SIPS-SDA-01M2                                     DESCRIPTION_IS_MISSING
SIPS-SD3K-20C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-19C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-18C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-17C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-16C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-15C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-14C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-13C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-12C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-11C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-10C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-09C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-08C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-07C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-06C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-05C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-04C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-03C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-02C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3K-01C3                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-20C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-19C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-18C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-17C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-16C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-15C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-14C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-13C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-12C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-11C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-10C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-09C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-08C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-07C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-06C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-05C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-04C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-03C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-02C2                                    DESCRIPTION_IS_MISSING
SIPS-SD3J-01C2                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-20C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-19C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-18C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-17C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-16C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-15C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-14C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-13C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-12C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-11C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-10C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-09C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-08C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-07C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-06C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-05C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-04C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-03C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-02C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2K-01C4                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-20C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-19C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-18C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-17C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-16C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-15C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-14C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-13C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-12C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-11C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-10C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-09C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-08C1                                    DESCRIPTION_IS_MISSING
SIPS-SD2J-07C1                                    DESCRIPTION_IS_MISSING
