# LINAC-BOOSTER TRANSPORT LINE PV FLATLIST
# ========================================
#
# Lists all TB PVs implemented in the Virtual Accelerator Channel Access
#
# TIMESTAMP: 2016-01-27 17:20:34  (by sirius-recordnames-generate-flatlist.py)
#


# --- TI (timing) ---

TBFK-ERRORR-CH-04                                 DESCRIPTION_IS_MISSING
TBFK-ERRORR-CH-03-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CH-03-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CH-02-B                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-CH-02-A                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-BEND-04                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-BEND-03                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-BEND-02                               DESCRIPTION_IS_MISSING
TBFK-ERRORR-BEND-01                               DESCRIPTION_IS_MISSING


# --- FK (fake virtual accelerator PVs - longitudinal misalignments) ---

TBFK-CV-POS                                       DESCRIPTION_IS_MISSING
TBFK-CH-POS                                       DESCRIPTION_IS_MISSING
TBFK-BPM-POS                                      DESCRIPTION_IS_MISSING
TBFK-BEND-POS                                     DESCRIPTION_IS_MISSING
TBFK-TRIPLET-POS                                  DESCRIPTION_IS_MISSING
TBFK-SEP-POS                                      DESCRIPTION_IS_MISSING
TBFK-SAVEFLATFILE                                 DESCRIPTION_IS_MISSING
TBFK-QF-POS                                       DESCRIPTION_IS_MISSING
TBFK-QD-POS                                       DESCRIPTION_IS_MISSING

